model,task,method,budget,seed,run_id,em,f1,rougeL,n,peak_vram_gb,train_time_min,trainable_ratio,meta_file
gemma,gsm8k,qlora,128,43,gemma_gsm8k_qlora_b128_s43,0.07,,,200,7.646916389465332,3.238379184405009,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b128_s43_meta.json
gemma,gsm8k,qlora,2048,42,gemma_gsm8k_qlora_b2048_s42,0.01,,,200,7.646916389465332,50.90807061990102,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b2048_s42_meta.json
gemma,gsm8k,qlora,2048,43,gemma_gsm8k_qlora_b2048_s43,0.025,,,200,7.646916389465332,50.671514840920764,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b2048_s43_meta.json
gemma,gsm8k,qlora,512,42,gemma_gsm8k_qlora_b512_s42,0.015,,,200,7.646916389465332,12.724397027492524,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b512_s42_meta.json
gemma,gsm8k,qlora,512,43,gemma_gsm8k_qlora_b512_s43,0.015,,,200,7.646916389465332,12.750546785195668,0.012795499618359081,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_gsm8k_qlora_b512_s43_meta.json
gemma,squad_v2,dora,128,42,gemma_squad_v2_dora_b128_s42,0.3,0.4595014497026883,,200,19.64687728881836,2.876147536436717,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b128_s42_meta.json
gemma,squad_v2,dora,128,43,gemma_squad_v2_dora_b128_s43,0.32,0.466326852670893,,200,19.64211654663086,2.879141267140706,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b128_s43_meta.json
gemma,squad_v2,dora,2048,42,gemma_squad_v2_dora_b2048_s42,0.455,0.5376636431963665,,200,19.64687728881836,44.629780348141985,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b2048_s42_meta.json
gemma,squad_v2,dora,2048,43,gemma_squad_v2_dora_b2048_s43,0.495,0.5626669002050583,,200,19.64687728881836,44.5769864877065,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b2048_s43_meta.json
gemma,squad_v2,dora,512,42,gemma_squad_v2_dora_b512_s42,0.44,0.5328494651483784,,200,19.64211654663086,11.234588523705801,0.00814634675547139,/hpc2hdd/home/mliu954/projects/dsaa_peft/results/main/gemma_squad_v2_dora_b512_s42_meta.json
